Query,Answer,Label
What is the average fee for the course?,"Yes, the institute provides transport facilities.",3
Are there any fee concessions available?,The course duration is 4 years.,2
Are there any part-time job opportunities?,"Yes, the institute provides transport facilities.",0
What are the eligibility criteria?,Candidates must have completed 12th grade.,2
What are the eligibility criteria?,"Courses include Data Structures, Algorithms, etc.",3
Is there a student council?,Candidates must have completed 12th grade.,0
When does the course start?,"Yes, scholarships and fee concessions are offered.",2
How can I contact the admissions office?,"Yes, online classes are available.",5
How many classes are there each week?,The hostel has single and shared accommodations.,4
When does the course start?,"Yes, the institute provides transport facilities.",6
Are online classes available?,You can contact the admissions office via email.,2
What is the duration of the course?,"Courses include Data Structures, Algorithms, etc.",0
Where can I find the syllabus?,The course starts on 01/08/2024.,6
What are the class timings?,Classes are held from 9 AM to 5 PM.,6
Are online classes available?,"Yes, there are part-time job opportunities available.",4
What are the class timings?,"Yes, there is an active student council.",4
What are the hostel facilities like?,The course duration is 4 years.,0
Is there a student council?,The course duration is 4 years.,6
What documents are required?,"Yes, scholarships and fee concessions are offered.",6
Where can I find the syllabus?,Classes are held from 9 AM to 5 PM.,6
When does the course start?,"Yes, the institute provides transport facilities.",4
Can I change my course after admission?,"Yes, there is an entrance exam on 30/05/2024.",1
What courses are offered in BSCS?,"12th grade mark sheet, ID proof, and photos are required.",1
What are the eligibility criteria?,The average fee is $5000 per year.,1
Are online classes available?,The syllabus is available on the official website.,3
Is there an entrance exam?,The average fee is $5000 per year.,5
What documents are required?,The average fee is $5000 per year.,5
Are online classes available?,The course duration is 4 years.,3
Is there an entrance exam?,"Yes, scholarships and fee concessions are offered.",4
When does the course start?,The last date to apply is 15/05/2024.,4
Are admissions open?,"12th grade mark sheet, ID proof, and photos are required.",6
What is the average fee for the course?,"Courses include Data Structures, Algorithms, etc.",0
Is there transport available for students?,"Yes, the institute provides transport facilities.",2
How can I contact the admissions office?,"Yes, scholarships and fee concessions are offered.",3
Can I change my course after admission?,The syllabus is available on the official website.,4
What is the last date to apply?,"12th grade mark sheet, ID proof, and photos are required.",3
Is there a student council?,"Yes, admissions are open from 01/01/2024.",1
What are the class timings?,The course starts on 01/08/2024.,1
What are the class timings?,"Yes, there are part-time job opportunities available.",4
How can I contact the admissions office?,You can contact the admissions office via email.,5
What is the last date to apply?,"Yes, scholarships and fee concessions are offered.",0
What are the class timings?,"Yes, admissions are open from 01/01/2024.",1
What are the hostel facilities like?,"Yes, there are part-time job opportunities available.",0
Are there any part-time job opportunities?,"Yes, the institute provides transport facilities.",3
When does the course start?,"Yes, online classes are available.",5
How can I contact the admissions office?,"12th grade mark sheet, ID proof, and photos are required.",3
Can I change my course after admission?,You can contact the admissions office via email.,0
Are there any fee concessions available?,The course duration is 4 years.,5
How many classes are there each week?,The average fee is $5000 per year.,6
Are online classes available?,There are 5 classes per week for each subject.,5
Are there any part-time job opportunities?,The average fee is $5000 per year.,2
When does the course start?,"No, course changes are not allowed after admission.",0
What is the average fee for the course?,"Yes, admissions are open from 01/01/2024.",0
What are the hostel facilities like?,"No, course changes are not allowed after admission.",1
What are the class timings?,The course duration is 4 years.,6
Are online classes available?,"Yes, the institute provides transport facilities.",1
What documents are required?,"Courses include Data Structures, Algorithms, etc.",6
Are online classes available?,The syllabus is available on the official website.,6
What are the hostel facilities like?,The syllabus is available on the official website.,1
What is the duration of the course?,The course duration is 4 years.,3
What is the last date to apply?,The average fee is $5000 per year.,0
Is there transport available for students?,Classes are held from 9 AM to 5 PM.,1
Are online classes available?,The hostel has single and shared accommodations.,4
What are the class timings?,The course duration is 4 years.,2
How many classes are there each week?,The last date to apply is 15/05/2024.,2
